"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-27",,"82","84","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-28","0.01","82","87",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-29","2.34","80","83","74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-30","0.04","84","91","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-07-31","0.01","84","91",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-01",,"83","90","78"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-02",,"80","88",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-03",,"85","94","75"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-04",,"88","96","79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-05",,"88","97","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-06",,"87","93","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-07",,"87","95",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-08",,"87","96","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-09",,"85","92",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-10",,"85","95","79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-11",,"87","98","79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-12",,"87","97","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-13",,"87","95","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-14",,"83","89",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-15","0.00","85","93","78"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-16","0.02","84","95",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-17",,"86","94","77"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-18",,"86","94","79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-19",,"84","92",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-20",,"87","95","80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-21","0.00","87","98",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-22","0.02","87","97","78"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-23","0.31","83","91","79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-24","0.00","84","91",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-25","0.20","79","90",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-26","0.79","72","83",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-27",,"75","85","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-28","0.08","68","76",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-29",,"72","81","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-30",,"68","76",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-08-31","0.71","64","67",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-01",,"76","83","60"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-02","0.20","75","84",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-03","0.02","76","83","69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-04",,"79","85","72"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-05",,"79","88",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-06",,"76","84","70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-07",,"76",,"70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-08",,"72","80",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-09",,"75","85","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-10",,"77","84","68"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-11",,"76",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-12",,"73",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-13",,"78",,"67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-14",,"75",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-15",,"76","85","66"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-16",,"76","85","69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-17","0.28","73","83","65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-18",,"73","83",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-19",,"70","82",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-20",,"69","80",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-21",,"69","78","58"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-22",,"71","81",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-23",,"71","82","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-24",,"73","84","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-25",,"74","85","65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-26",,"76","84","67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-27",,"68",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-28",,"68",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-29",,"69",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-09-30",,"69","74",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-01",,"71","78","63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-02","0.71","68",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-03",,"70",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-04",,"73","84","60"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-05",,"68","81",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-06",,"65","74","56"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-07",,"67","77","62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-08","0.28","58","71",
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-09",,"53","62","44"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2016-10-10",,"58","71","45"
